referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Jason Herzog,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,London,England,United Kingdom,0.0,150.0,58.0,134.0,49.0,6.0,0.0,0.0,0.0,4:12
Peter Hickmott,3,F,M,Decision,Unanimous,3,5:00,UFC 242: Khabib vs. Poirier,2019-09-07,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,111.0,72.0,49.0,21.0,12.0,3.0,0.0,0.0,9:37
Marc Goddard,3,F,M,Decision,Unanimous,3,5:00,UFC 293: Adesanya vs. Strickland,2023-09-09,Sydney,New South Wales,Australia,0.0,378.0,172.0,377.0,171.0,5.0,0.0,0.0,0.0,0:21
Chris Tognoni,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Las Vegas,Nevada,USA,0.0,218.0,99.0,217.0,99.0,2.0,0.0,0.0,0.0,0:00
Dwayne Bess,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Holloway vs. Allen,2023-04-15,Kansas City,Missouri,USA,0.0,252.0,63.0,252.0,63.0,3.0,0.0,0.0,0.0,0:00
Jacob Montalvo,3,F,M,Decision,Unanimous,3,5:00,UFC 277: Pena vs. Nunes 2,2022-07-30,Dallas,Texas,USA,0.0,175.0,111.0,115.0,61.0,10.0,2.0,0.0,0.0,2:05
Chris Tognoni,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Hall vs. Strickland,2021-07-31,Las Vegas,Nevada,USA,0.0,268.0,176.0,190.0,100.0,1.0,0.0,0.0,0.0,0:03
Chris Tognoni,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,Las Vegas,Nevada,USA,0.0,219.0,108.0,215.0,104.0,0.0,0.0,0.0,0.0,0:02
Herb Dean,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,Las Vegas,Nevada,USA,0.0,195.0,90.0,195.0,90.0,0.0,0.0,0.0,0.0,0:03
Tomasz Bronder,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Shogun vs. Smith,2018-07-22,Hamburg,Hamburg,Germany,1.0,208.0,102.0,198.0,93.0,2.0,0.0,0.0,0.0,0:34
