fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y,winner
3580.0,0.0,128.0,44.0,128.0,44.0,1.0,0.0,2.0,0.0,0:06,Dustin,Jacoby,The Hanyak,190.5,205.0,193.04,Orthodox,1988-04-04,19,7,1,,3631,2413.0,0.0,127.0,31.0,126.0,30.0,0.0,0.0,0.0,0.0,0:00,3580.0
3580.0,0.0,123.0,71.0,111.0,62.0,5.0,0.0,0.0,0.0,3:44,James,Hammortree,The Sledge,190.5,185.0,,Orthodox,1983-11-29,6,3,0,,2733,2655.0,0.0,107.0,40.0,95.0,29.0,4.0,2.0,1.0,0.0,2:23,3580.0
695.0,1.0,43.0,29.0,28.0,16.0,1.0,0.0,0.0,0.0,1:30,Soa,Palelei,The Hulk,193.04,265.0,205.74,Orthodox,1977-07-12,22,5,0,,6591,1335.0,0.0,65.0,46.0,35.0,19.0,3.0,1.0,0.0,0.0,2:39,695.0
3841.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0:00,Soa,Palelei,The Hulk,193.04,265.0,205.74,Orthodox,1977-07-12,22,5,0,,4961,1335.0,0.0,33.0,31.0,14.0,12.0,1.0,1.0,0.0,0.0,1:25,1335.0
869.0,0.0,212.0,145.0,115.0,52.0,5.0,1.0,0.0,0.0,3:21,Soa,Palelei,The Hulk,193.04,265.0,205.74,Orthodox,1977-07-12,22,5,0,,1667,1335.0,0.0,43.0,27.0,37.0,21.0,1.0,1.0,0.0,0.0,5:49,869.0
3593.0,0.0,38.0,24.0,24.0,11.0,5.0,2.0,1.0,0.0,4:20,Naoyuki,Kotani,,172.72,155.0,167.64,Southpaw,1981-12-08,34,14,7,,5805,2176.0,0.0,34.0,13.0,26.0,5.0,1.0,1.0,0.0,0.0,1:10,3593.0
1315.0,0.0,91.0,41.0,83.0,34.0,2.0,2.0,0.0,0.0,3:33,Naoyuki,Kotani,,172.72,155.0,167.64,Southpaw,1981-12-08,34,14,7,,5559,2176.0,0.0,43.0,16.0,35.0,8.0,7.0,0.0,0.0,0.0,1:02,1315.0
649.0,1.0,87.0,47.0,66.0,28.0,2.0,0.0,0.0,0.0,3:49,Naoyuki,Kotani,,172.72,155.0,167.64,Southpaw,1981-12-08,34,14,7,,1547,2176.0,0.0,36.0,14.0,30.0,9.0,0.0,0.0,2.0,0.0,0:05,649.0
440.0,0.0,175.0,159.0,28.0,21.0,6.0,4.0,2.0,1.0,5:08,Naoyuki,Kotani,,172.72,155.0,167.64,Southpaw,1981-12-08,34,14,7,,1387,2176.0,0.0,94.0,72.0,30.0,12.0,2.0,1.0,1.0,3.0,5:55,440.0
3593.0,1.0,79.0,59.0,34.0,18.0,6.0,4.0,1.0,0.0,12:09,David,Mitchell,Daudi,182.88,170.0,190.5,Orthodox,1979-10-24,22,7,0,,4795,1666.0,0.0,57.0,40.0,22.0,5.0,1.0,0.0,1.0,0.0,1:07,3593.0
410.0,0.0,84.0,30.0,69.0,19.0,6.0,6.0,1.0,0.0,4:55,David,Mitchell,Daudi,182.88,170.0,190.5,Orthodox,1979-10-24,22,7,0,,3341,1666.0,0.0,161.0,62.0,120.0,23.0,0.0,0.0,0.0,0.0,0:37,410.0
217.0,0.0,96.0,69.0,58.0,37.0,7.0,6.0,7.0,3.0,10:52,David,Mitchell,Daudi,182.88,170.0,190.5,Orthodox,1979-10-24,22,7,0,,2837,1666.0,0.0,59.0,50.0,18.0,13.0,3.0,2.0,6.0,0.0,1:35,217.0
1203.0,1.0,49.0,25.0,41.0,17.0,4.0,0.0,0.0,0.0,4:40,David,Mitchell,Daudi,182.88,170.0,190.5,Orthodox,1979-10-24,22,7,0,,4601,1666.0,0.0,110.0,81.0,44.0,17.0,0.0,0.0,0.0,0.0,0:17,1203.0
399.0,0.0,119.0,52.0,115.0,49.0,1.0,1.0,0.0,0.0,3:37,David,Mitchell,Daudi,182.88,170.0,190.5,Orthodox,1979-10-24,22,7,0,,4277,1666.0,0.0,234.0,121.0,159.0,60.0,2.0,1.0,2.0,1.0,4:02,1666.0
1188.0,1.0,60.0,39.0,38.0,17.0,0.0,0.0,0.0,0.0,0:35,Todd,Brown,Bulldog,180.34,205.0,,Orthodox,1976-12-13,16,4,0,1.0,3085,3658.0,0.0,32.0,24.0,23.0,15.0,3.0,0.0,0.0,0.0,2:06,1188.0
429.0,1.0,301.0,172.0,249.0,122.0,9.0,3.0,0.0,0.0,2:50,Joey,Beltran,The Mexicutioner,185.42,185.0,190.5,Orthodox,1981-12-08,17,14,0,1.0,3983,3809.0,0.0,296.0,90.0,278.0,73.0,2.0,1.0,0.0,0.0,1:51,429.0
1890.0,0.0,204.0,121.0,168.0,87.0,0.0,0.0,1.0,0.0,0:37,Joey,Beltran,The Mexicutioner,185.42,185.0,190.5,Orthodox,1981-12-08,17,14,0,1.0,4803,3809.0,0.0,234.0,86.0,200.0,57.0,4.0,1.0,0.0,0.0,6:06,1890.0
1658.0,0.0,165.0,86.0,152.0,76.0,0.0,0.0,0.0,0.0,0:00,Joey,Beltran,The Mexicutioner,185.42,185.0,190.5,Orthodox,1981-12-08,17,14,0,1.0,2863,3809.0,0.0,207.0,93.0,157.0,52.0,3.0,1.0,0.0,0.0,5:01,1658.0
3841.0,1.0,103.0,58.0,90.0,46.0,0.0,0.0,0.0,0.0,0:53,Joey,Beltran,The Mexicutioner,185.42,185.0,190.5,Orthodox,1981-12-08,17,14,0,1.0,3033,3809.0,0.0,235.0,104.0,177.0,55.0,6.0,0.0,0.0,0.0,4:22,3841.0
429.0,0.0,50.0,37.0,33.0,22.0,0.0,0.0,0.0,0.0,1:06,Aaron,Rosa,,193.04,205.0,195.58,Orthodox,1983-05-28,18,6,0,,3727,950.0,0.0,29.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0:00,429.0
3809.0,0.0,304.0,185.0,188.0,88.0,4.0,1.0,0.0,0.0,5:20,Aaron,Rosa,,193.04,205.0,195.58,Orthodox,1983-05-28,18,6,0,,3223,950.0,0.0,258.0,135.0,179.0,73.0,1.0,0.0,0.0,0.0,0:08,3809.0
429.0,1.0,9.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0:10,Ricardo,Romero,,182.88,205.0,193.04,Orthodox,1978-04-15,11,3,0,,3381,961.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0:00,429.0
2213.0,1.0,16.0,12.0,13.0,9.0,0.0,0.0,0.0,0.0,0:07,Ricardo,Romero,,182.88,205.0,193.04,Orthodox,1978-04-15,11,3,0,,3043,961.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0:00,2213.0
1227.0,1.0,76.0,42.0,62.0,30.0,1.0,0.0,2.0,0.0,1:11,Ricardo,Romero,,182.88,205.0,193.04,Orthodox,1978-04-15,11,3,0,,2759,961.0,0.0,36.0,24.0,30.0,19.0,7.0,1.0,2.0,1.0,3:59,961.0
1315.0,0.0,137.0,77.0,128.0,68.0,13.0,2.0,0.0,1.0,4:43,Kazuki,Tokudome,,180.34,155.0,185.42,Southpaw,1987-03-04,18,7,1,,4609,385.0,0.0,149.0,59.0,128.0,43.0,5.0,1.0,0.0,0.0,2:38,1315.0
1870.0,0.0,117.0,67.0,76.0,33.0,4.0,1.0,0.0,0.0,0:55,Kazuki,Tokudome,,180.34,155.0,185.42,Southpaw,1987-03-04,18,7,1,,4369,385.0,1.0,178.0,90.0,77.0,33.0,2.0,2.0,0.0,0.0,8:26,385.0
819.0,0.0,20.0,19.0,9.0,8.0,1.0,1.0,1.0,0.0,1:06,Eddie,Mendez,,177.8,185.0,,,1984-01-16,8,3,1,1.0,4569,1725.0,0.0,13.0,5.0,12.0,4.0,0.0,0.0,0.0,0.0,0:22,819.0
3855.0,0.0,88.0,83.0,20.0,17.0,2.0,2.0,1.0,0.0,5:28,Bobby,Hoffman,The Truth,187.96,245.0,,Orthodox,1968-10-28,36,10,1,2.0,591,2540.0,0.0,31.0,21.0,14.0,6.0,2.0,1.0,1.0,1.0,3:22,3855.0
641.0,0.0,98.0,86.0,55.0,43.0,0.0,0.0,0.0,0.0,5:26,Bobby,Hoffman,The Truth,187.96,245.0,,Orthodox,1968-10-28,36,10,1,2.0,491,2540.0,0.0,68.0,24.0,44.0,10.0,4.0,4.0,0.0,0.0,8:12,641.0
3855.0,0.0,28.0,21.0,17.0,10.0,1.0,1.0,1.0,0.0,3:35,Semmy,Schilt,Hightower,208.28,265.0,,Orthodox,1973-10-27,26,14,1,,563,786.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0:32,3855.0
3855.0,0.0,55.0,44.0,24.0,17.0,1.0,1.0,1.0,0.0,1:18,Gan,McGee,The Giant,208.28,265.0,,Orthodox,1976-11-20,13,5,0,,503,1774.0,0.0,35.0,24.0,21.0,10.0,5.0,2.0,0.0,0.0,7:22,3855.0
476.0,1.0,34.0,10.0,34.0,10.0,0.0,0.0,0.0,0.0,0:04,Gan,McGee,The Giant,208.28,265.0,,Orthodox,1976-11-20,13,5,0,,761,1774.0,0.0,25.0,7.0,25.0,7.0,0.0,0.0,0.0,0.0,0:00,476.0
3376.0,0.0,33.0,14.0,33.0,14.0,0.0,0.0,0.0,0.0,0:00,Alessio,Sakara,Legionarius,182.88,185.0,182.88,Orthodox,1981-09-02,19,11,0,2.0,4159,894.0,1.0,34.0,24.0,34.0,24.0,0.0,0.0,0.0,0.0,0:13,3376.0
2083.0,1.0,52.0,25.0,50.0,24.0,1.0,0.0,0.0,0.0,0:26,Alessio,Sakara,Legionarius,182.88,185.0,182.88,Orthodox,1981-09-02,19,11,0,2.0,1741,894.0,0.0,36.0,15.0,33.0,13.0,0.0,0.0,0.0,0.0,0:00,2083.0
557.0,1.0,47.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,1:16,Alessio,Sakara,Legionarius,182.88,185.0,182.88,Orthodox,1981-09-02,19,11,0,2.0,3755,894.0,0.0,20.0,13.0,14.0,7.0,0.0,0.0,0.0,0.0,0:00,557.0
1776.0,1.0,63.0,36.0,57.0,30.0,1.0,1.0,0.0,0.0,0:33,Alessio,Sakara,Legionarius,182.88,185.0,182.88,Orthodox,1981-09-02,19,11,0,2.0,1293,894.0,0.0,59.0,33.0,58.0,32.0,2.0,0.0,0.0,0.0,0:11,1776.0
2002.0,0.0,8.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,0:00,Alessio,Sakara,Legionarius,182.88,185.0,182.88,Orthodox,1981-09-02,19,11,0,2.0,1119,894.0,0.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1:50,2002.0
4044.0,1.0,36.0,18.0,36.0,18.0,0.0,0.0,0.0,0.0,0:14,Alessio,Sakara,Legionarius,182.88,185.0,182.88,Orthodox,1981-09-02,19,11,0,2.0,1553,894.0,0.0,5.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,0:09,4044.0
3376.0,0.0,80.0,39.0,64.0,24.0,0.0,0.0,0.0,0.0,1:45,Ricardo,Almeida,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,1871,4023.0,0.0,72.0,36.0,62.0,26.0,11.0,2.0,2.0,0.0,4:56,3376.0
2738.0,0.0,33.0,20.0,18.0,6.0,1.0,0.0,0.0,1.0,0:52,Ricardo,Almeida,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,2983,4023.0,0.0,136.0,93.0,85.0,48.0,8.0,6.0,0.0,0.0,12:19,4023.0
2482.0,1.0,16.0,2.0,16.0,2.0,0.0,0.0,1.0,0.0,0:13,Ricardo,Almeida,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,2807,4023.0,0.0,28.0,10.0,28.0,10.0,0.0,0.0,0.0,0.0,0:00,2482.0
2010.0,0.0,153.0,118.0,49.0,22.0,5.0,5.0,0.0,0.0,12:14,Ricardo,Almeida,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,541,4023.0,0.0,25.0,16.0,18.0,9.0,1.0,0.0,0.0,0.0,0:00,2010.0
759.0,1.0,59.0,35.0,29.0,5.0,0.0,0.0,0.0,0.0,2:27,Ricardo,Almeida,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,607,4023.0,0.0,35.0,12.0,35.0,12.0,4.0,1.0,5.0,0.0,0:45,759.0
3376.0,1.0,44.0,32.0,31.0,20.0,2.0,0.0,1.0,0.0,2:41,Kendall,Grove,Da Spyder,198.12,185.0,200.66,Orthodox,1982-11-12,23,17,0,1.0,1535,2712.0,0.0,40.0,25.0,27.0,12.0,1.0,0.0,0.0,0.0,0:06,3376.0
1026.0,1.0,42.0,31.0,38.0,28.0,1.0,1.0,0.0,0.0,1:05,Kendall,Grove,Da Spyder,198.12,185.0,200.66,Orthodox,1982-11-12,23,17,0,1.0,1681,2712.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0:00,1026.0
4023.0,0.0,102.0,70.0,62.0,38.0,14.0,6.0,0.0,0.0,11:13,Kendall,Grove,Da Spyder,198.12,185.0,200.66,Orthodox,1982-11-12,23,17,0,1.0,2319,2712.0,0.0,127.0,85.0,62.0,25.0,0.0,0.0,2.0,0.0,0:57,4023.0
3689.0,1.0,133.0,84.0,77.0,33.0,4.0,3.0,0.0,0.0,5:33,Joey,Gambino,The Raging Warrior,170.18,145.0,,Orthodox,1988-10-26,9,2,0,,4113,2886.0,0.0,129.0,59.0,109.0,39.0,4.0,0.0,1.0,0.0,0:37,3689.0
707.0,0.0,32.0,27.0,16.0,12.0,3.0,1.0,1.0,0.0,1:08,Joey,Gambino,The Raging Warrior,170.18,145.0,,Orthodox,1988-10-26,9,2,0,,3907,2886.0,0.0,15.0,5.0,15.0,5.0,2.0,0.0,0.0,0.0,0:25,707.0
157.0,0.0,115.0,60.0,79.0,33.0,1.0,1.0,0.0,0.0,2:27,Edgar,Garcia,,177.8,170.0,180.34,Orthodox,1984-02-22,14,5,0,,6925,2875.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0:00,157.0
2371.0,0.0,36.0,10.0,36.0,10.0,0.0,0.0,1.0,0.0,0:00,Edgar,Garcia,,177.8,170.0,180.34,Orthodox,1984-02-22,14,5,0,,2481,2875.0,0.0,57.0,26.0,48.0,17.0,2.0,1.0,1.0,0.0,1:49,2371.0
3760.0,0.0,162.0,66.0,162.0,66.0,1.0,0.0,1.0,0.0,0:06,Edgar,Garcia,,177.8,170.0,180.34,Orthodox,1984-02-22,14,5,0,,2271,2875.0,0.0,185.0,39.0,185.0,39.0,3.0,1.0,0.0,0.0,0:07,3760.0
1156.0,0.0,177.0,69.0,175.0,67.0,0.0,0.0,3.0,0.0,0:28,Justin,Edwards,Fast Eddy,177.8,155.0,177.8,Orthodox,1983-01-26,9,5,0,,6379,3118.0,0.0,179.0,71.0,171.0,63.0,3.0,2.0,0.0,0.0,2:10,1156.0
1474.0,0.0,148.0,75.0,113.0,46.0,7.0,5.0,1.0,0.0,4:45,Justin,Edwards,Fast Eddy,177.8,155.0,177.8,Orthodox,1983-01-26,9,5,0,,5039,3118.0,0.0,77.0,26.0,76.0,25.0,0.0,0.0,1.0,0.0,0:06,1474.0
1501.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0:20,Justin,Edwards,Fast Eddy,177.8,155.0,177.8,Orthodox,1983-01-26,9,5,0,,4099,3118.0,0.0,8.0,7.0,7.0,6.0,1.0,0.0,1.0,0.0,0:08,3118.0
