fight_id,f_1,fighter_f_name_x,fighter_nickname_x,fighter_l_name_x,f_2,fighter_f_name_y,fighter_nickname_y,fighter_l_name_y,winner,num_rounds,result,result_details,finish_round,finish_time,fighter_height_cm_x,fighter_weight_lbs_x,fighter_reach_cm_x,fighter_stance_x,fighter_dob_x,fighter_w_x,fighter_l_x,fighter_d_x,fighter_nc_dq_x,fight_stat_id_x,fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y
5461,1662.0,Bryce,Thug Nasty,Mitchell,949.0,Charles,Boston Strong,Rosa,1662.0,3,Decision,Unanimous,3,5:00,177.8,145.0,177.8,Southpaw,1994-10-04,16,2,0,,10922,1662.0,0.0,74.0,60.0,49.0,40.0,3.0,3.0,5.0,0.0,12:51,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,10921,949.0,0.0,17.0,12.0,10.0,5.0,0.0,0.0,0.0,0.0,0:00
6603,102.0,Nathaniel,The Prospect,Wood,949.0,Charles,Boston Strong,Rosa,102.0,3,Decision,Unanimous,3,5:00,167.64,145.0,175.26,Orthodox,1993-05-08,20,5,0,,13206,102.0,0.0,166.0,102.0,159.0,97.0,1.0,1.0,0.0,0.0,1:25,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,13205,949.0,0.0,170.0,54.0,167.0,51.0,9.0,2.0,1.0,0.0,0:52
3207,983.0,Yair,El Pantera,Rodriguez,949.0,Charles,Boston Strong,Rosa,983.0,3,Decision,Split,3,5:00,180.34,145.0,180.34,Orthodox,1992-10-06,16,4,0,1.0,6414,983.0,0.0,149.0,97.0,100.0,56.0,1.0,1.0,2.0,2.0,0:36,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,6413,949.0,0.0,117.0,67.0,79.0,39.0,14.0,5.0,0.0,0.0,8:48
6308,3652.0,TJ,Downtown,Brown,949.0,Charles,Boston Strong,Rosa,3652.0,3,Decision,Unanimous,3,5:00,175.26,145.0,182.88,Switch,1990-05-22,17,10,0,,12616,3652.0,0.0,141.0,88.0,99.0,58.0,8.0,6.0,3.0,2.0,7:39,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,12615,949.0,0.0,132.0,71.0,107.0,46.0,0.0,0.0,1.0,1.0,2:42
4038,3622.0,Shane,Hurricane,Burgos,949.0,Charles,Boston Strong,Rosa,3622.0,3,KO/TKO,Punch to Head In Clinch,3,1:59,180.34,145.0,190.5,Orthodox,1991-03-19,15,3,0,,8076,3622.0,1.0,190.0,98.0,167.0,77.0,0.0,0.0,0.0,0.0,0:10,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,8075,949.0,0.0,261.0,86.0,261.0,86.0,7.0,1.0,0.0,0.0,0:44
2881,649.0,Dennis,,Siver,949.0,Charles,Boston Strong,Rosa,649.0,3,Decision,Unanimous,3,5:00,167.64,145.0,177.8,Orthodox,1979-01-13,23,11,0,1.0,5762,649.0,0.0,171.0,109.0,86.0,33.0,3.0,3.0,1.0,2.0,8:51,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,5761,949.0,0.0,99.0,29.0,91.0,22.0,4.0,2.0,1.0,3.0,0:55
5334,1662.0,Bryce,Thug Nasty,Mitchell,799.0,Matt,,Sayles,1662.0,3,Submission,Twister From Back Control,1,4:20,177.8,145.0,177.8,Southpaw,1994-10-04,16,2,0,,10668,1662.0,0.0,28.0,24.0,7.0,6.0,1.0,1.0,1.0,0.0,4:00,Matt,Sayles,,170.18,155.0,172.72,Orthodox,1994-02-21,8,4,0,,10667,799.0,0.0,9.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0:00
5024,1495.0,Kyle,The Monster,Nelson,799.0,Matt,,Sayles,799.0,3,Submission,Arm Triangle From Mount,3,3:16,180.34,145.0,180.34,Switch,1991-04-20,15,5,1,,10048,1495.0,0.0,103.0,32.0,93.0,26.0,10.0,2.0,4.0,0.0,3:47,Matt,Sayles,,170.18,155.0,172.72,Orthodox,1994-02-21,8,4,0,,10047,799.0,0.0,181.0,106.0,147.0,75.0,0.0,0.0,1.0,1.0,2:47
6295,2085.0,Jordan,The Monkey King,Leavitt,799.0,Matt,,Sayles,2085.0,3,Submission,Inverted Triangle On Ground,2,2:05,175.26,155.0,180.34,Southpaw,1995-06-02,11,2,0,,12590,2085.0,0.0,37.0,22.0,20.0,9.0,6.0,1.0,3.0,0.0,2:48,Matt,Sayles,,170.18,155.0,172.72,Orthodox,1994-02-21,8,4,0,,12589,799.0,0.0,34.0,13.0,34.0,13.0,1.0,1.0,1.0,0.0,1:14
4965,1662.0,Bryce,Thug Nasty,Mitchell,1647.0,Bobby,The Wolfman,Moffett,1662.0,3,Decision,Unanimous,3,5:00,177.8,145.0,177.8,Southpaw,1994-10-04,16,2,0,,9930,1662.0,0.0,56.0,28.0,44.0,17.0,3.0,0.0,2.0,1.0,3:11,Bobby,Moffett,The Wolfman,177.8,145.0,185.42,Orthodox,1990-06-01,13,5,0,1.0,9929,1647.0,0.0,63.0,25.0,42.0,9.0,8.0,5.0,2.0,1.0,6:01
