fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_f_name_fighter2,fighter_l_name_fighter2,f_1,f_2,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,num_rounds,finish_round,finish_time,title_fight,weight_class,gender,result,result_details
Stevie,Ray,Michael,Johnson,2364.0,1096.0,0.0,176.0,81.0,173.0,78.0,0.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Majority
Stevie,Ray,Joe,Lauzon,2102.0,1096.0,0.0,97.0,65.0,76.0,46.0,7.0,5.0,1.0,0.0,8:11,3,3,5:00,F,Lightweight,M,Decision,Majority
Stevie,Ray,Ross,Pearson,1284.0,1096.0,0.0,104.0,48.0,92.0,38.0,0.0,0.0,0.0,0.0,0:08,3,3,5:00,F,Lightweight,M,Decision,Split
Stevie,Ray,Alan,Patrick,1298.0,1096.0,0.0,75.0,60.0,12.0,7.0,8.0,5.0,1.0,0.0,12:12,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Stevie,Ray,Marcin,Bandel,3874.0,1096.0,0.0,7.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1:35,3,2,1:35,F,Lightweight,M,KO/TKO,Punches to Head From Mount
Melvin,Guillard,Michael,Johnson,2364.0,2700.0,0.0,153.0,51.0,146.0,48.0,4.0,1.0,0.0,0.0,1:14,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Melvin,Guillard,Nate,Diaz,3221.0,2700.0,0.0,79.0,27.0,73.0,21.0,2.0,2.0,2.0,0.0,1:23,3,2,2:13,F,Lightweight,M,Submission,Guillotine Choke From Bottom Half Guard
Melvin,Guillard,Donald,Cerrone,3499.0,2700.0,1.0,9.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0:02,3,1,1:16,F,Lightweight,M,KO/TKO,Kick to Head At Distance
Melvin,Guillard,Mac,Danzig,3298.0,2700.0,0.0,57.0,24.0,56.0,23.0,1.0,0.0,0.0,0.0,0:13,3,2,2:47,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Melvin,Guillard,Joe,Stevenson,539.0,2700.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0:11,3,1,0:27,F,Lightweight,M,Submission,Guillotine Choke From Bottom Guard
Melvin,Guillard,Rich,Clementi,3444.0,2700.0,0.0,13.0,10.0,9.0,6.0,2.0,2.0,2.0,1.0,1:48,3,1,4:40,F,Lightweight,M,Submission,Rear Naked Choke
Shane,Roller,Michael,Johnson,2364.0,965.0,0.0,149.0,77.0,136.0,64.0,1.0,1.0,0.0,1.0,4:25,3,3,5:00,F,Lightweight,M,Decision,Unanimous
